"FECD, FE_CD","Description","Form","NO3-N%","NH4-N%","Urea-N%","UIEFF","UIDUR","NIEFF","NIDUR","NREL50","NRFNC","NSIGK","FertN%","FertP%","FertK%","FertCa%","FertMg%","FertS%","FertB%","FertZn%","FertMn%","FertFe%","Notes","",""
"FE001","Ammonium Nitrate","","50","50","0","0","0","0","0","0","0","0","34","0","0","0","0","0","","","","","N range 33-34%","",""
"FE002","Ammonium Sulphate","","0","100","0","0","0","0","0","0","0","0","21","0","0","0","0","24","","","","","","",""
"FE003","Ammonium Nitrate Sulphate","","33","67","0","0","0","0","0","0","0","0","26","0","0","0","0","6.5","","","","","","",""
"FE004","Anhydrous Ammonia","","0","100","0","0","0","0","0","0","0","0","80","0","0","0","0","0","","","","","N range 60-83%","",""
"FE005","Urea","","0","0","100","0","0","0","0","0","0","0","46.4","0","0","0","0","0","","","","","","",""
"FE006","Diammonium Phosphate (DAP)","","0","100","0","0","0","0","0","0","0","0","18","20.1","0","0","0","0","","","","","","",""
"FE007","Monoammonium Phosphate (MAP)","","0","100","0","0","0","0","0","0","0","0","11","22.7","0","1","0","0","","","","","P2O5 range 48-61%","",""
"FE008","Calcium Nitrate","","100","0","0","0","0","0","0","0","0","0","15","0","0","21","0","0","","","","","","",""
"FE009","Aqua Ammonia","","0","100","0","0","0","0","0","0","0","0","20.5","0","0","0","0","0","","","","","N range 10-30%","",""
"FE010","Urea Ammonium Nitrate","","25","25","50","0","0","0","0","0","0","0","var","0","0","0","0","0","","","","","","",""
"FE011","Calcium Ammonium Nitrate","","50","50","0","0","0","0","0","0","0","0","27","0","0","8","0","0","","","","","","",""
"FE012","Ammonium poly-phosphate","","0","100","0","0","0","0","0","0","0","0","10","34","0","0","0","0","","","","","","",""
"FE013","Single super phosphate","","0","0","0","0","0","0","0","0","0","0","0","20","0","21","0","11","","","","","","",""
"FE014","Triple super phosphate","","0","0","0","0","0","0","0","0","0","0","0","46","0","14","0","2","","","","","","",""
"FE015","Liquid phosphoric acid","","0","0","0","0","0","0","0","0","0","0","0","var","0","0","0","0","","","","","","",""
"FE016","Potassium chloride (mureate of potash, MOP)","","0","0","0","0","0","0","0","0","0","0","0","0","60","0","0","0","","","","","","",""
"FE017","Potassium Nitrate","","100","0","0","0","0","0","0","0","0","0","13","0","44","0","0","0","","","","","","",""
"FE018","Potassium sulfate","","0","0","0","0","0","0","0","0","0","0","0","0","52","0","0","16","","","","","","",""
"FE019","Urea super granules","","0","0","100","0","0","0","0","0","0","0","46.4","0","0","0","0","0","","","","","","",""
"FE020","Dolomitic limestone","","0","0","0","0","0","0","0","0","0","0","0","0","0","29","6","0","","","","","Ca range 24-30%, Mg range 6-12%","",""
"FE021","Rock phosphate","dry","0","0","0","0","0","0","0","0","0","0","0","2-35","0","...","...","0","","","","","Range 2-35% P2O5, 1-15% elemental P","",""
"FE022","Calcitic limestone","","0","0","0","0","0","0","0","0","0","0","0","0","0","36","0","0","","","","","","",""
"!","Calcium carbonate (limestone)","","","","","","","","","","","","0","0","0","54","0","0","","","","","from CGIAR list","",""
"!","Crushed limestone","","","","","","","","","","","","0","0","0","40","0","0","","","","","from CGIAR list","",""
"FE023","Urea Ammonium Sulfate","","0","20","80","0","0","0","0","0","0","0","var","0","0","0","0","var","","","","","","",""
"FE024","Rhizobium","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"!","ammonium hydroxide","","","","","","","","","","","","","","","","","","","","","","","",""
"!","ammonium sulfate","","","","","","","","","","","","","","","","","","","","","","","",""
"FE026","Calcium hydroxide","","0","0","0","0","0","0","0","0","0","0","0","0","0","50","0","0","","","","","Ca amount varies","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"!","Generic NPK - for user blend, modify values","","","","","","","","","","","","","","","","","","","","","","","",""
"FE027","NPK - ammonium nitrate","","50","50","0","0","0","0","0","0","0","0","var","var","var","var","var","var","","","","","","",""
"FE028","NPK - urea","","0","0","100","0","0","0","0","0","0","0","var","var","var","var","var","var","","","","","","",""
"FE029","NPK - ammonium nitrate urea","","25","25","50","0","0","0","0","0","0","0","var","var","var","var","var","var","","","","","","",""
"FE030","NPK - user blend","","-99","-99","-99","0","0","0","0","0","0","0","var","var","var","var","var","var","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"FE031","Ammonium nitrate limestone","","50??","50??","0","0","0","0","0","0","0","0","20","0","0","6","4","0","","","","","","",""
"FE032","Calcium cyanamide","","??","??","0","0","0","0","0","0","0","0","21","0","0","11","0","0","","","","","","",""
"FE033","Calcium nitrate/urea","","??","0","??","0","0","0","0","0","0","0","34","0","0","10","0","0","","","","","","",""
"!","urea/ammonium nitrate solutions:","","","","","","","","","","","","","","","","","","","","","","","",""
"FE036","32% UAN (35% urea + 45% A.N.)","liquid","28.1","28.1","43.8","0","0","0","0","0","0","0","32","0","0","0","0","0","","","","","","",""
"FE037","30% UAN (33% urea + 42% A.N.)","liquid","28","28","44","0","0","0","0","0","0","0","30","0","0","0","0","0","","","","","","",""
"FE038","28% UAN (30% urea + 40% A.N.)","liquid","28.6","28.5","42.9","0","0","0","0","0","0","0","28","0","0","0","0","0","","","","","","",""
"FE039","21% AN (60% A.N. + 40% water)","liquid","50","50","0","0","0","0","0","0","0","0","21","0","0","0","0","0","","","","","","",""
"FE040","19% AN (54% A.N. + 46% water)","liquid","50","50","0","0","0","0","0","0","0","0","19","0","0","0","0","0","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"FE041","Sodium nitrate","","100","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"FE042","Ammonionated super phosphate","","100","0","0","0","0","0","0","0","0","0","15","27","0","...","0","...","","","","","N range 12-17%, P range 22-35%","",""
"FE043","Ammonium phosphate nitrate","","50","50","0","0","0","0","0","0","0","0","30","10","0","0","0","0","","","","","","",""
"FE044","Ammonium phosphate sulfate","","0","100","0","0","0","0","0","0","0","0","16","20","0","0","0","15","","","","","","",""
"FE045","Basic slag","","0","0","0","0","0","0","0","0","0","0","0","3","...","15","...","...","","","","","P range 0-6%, Ca range 3-29%","",""
"FE046","Bone meal (steamed)","","???","???","0","0","0","0","0","0","0","0","0-2","10-20","0","19-25","0","0","","","","","N range 0-2%, P range 10-20%, Ca range 19-25%","",""
"FE047","Nitric phosphate","","100 ???","0","0","0","0","0","0","0","0","0","15","28","0","...","0","...","","","","","N range 12-17%, P range 22-35%","",""
"FE048","Methylene ureas","","","","","","","","","","","","40","0","0","0","0","0","","","","","","",""
"FE049","Urea ammonium phosphate","","0","???","???","0","0","0","0","0","0","0","23","35","0","0","0","0","","","","","","",""
"FE050","Urea phosphate","","0","0","100","0","0","0","0","0","0","0","17","44","0","0","0","0","","","","","","",""
"FE052","Greensand","","0","0","0","0","0","0","0","0","0","0","0","1","6","0","0","0","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"FE053","Potassium carbonate K2CO3 solid","","0","0","0","0","0","0","0","0","0","0","0","0","48","0","0","0","","","","","","",""
"FE054","Potassium carbonate K2CO3 liquid","","0","0","0","0","0","0","0","0","0","0","0","0","34","0","0","0","","","","","","",""
"FE055","Potassium magnesium sulfate**","","0","0","0","0","0","0","0","0","0","0","0","0","21","0","11","23","","","","","","",""
"FE056","Potassium metaphosphate","","0","0","0","0","0","0","0","0","0","0","0","59","39","0","0","0","","","","","","",""
"FE057","Potassium nitrate (nitrate of potash)","","100","0","0","0","0","0","0","0","0","0","13","0","44","0","0","0","","","","","","",""
"!","Mono Potassium Phosphate (MKP)","","","","","","","","","","","","0","52","34","0","0","0","","","","","","",""
"!","Potassium oxide K2O equivalent","","","","","","","","","","","","","","","","","","","","","","","",""
"FE058","Magnesium ammonium phosphate","","0","100","0","0","0","0","0","0","0","0","8","40","0","0","15","0","","","","","","",""
"FE059","Carnallite (hydrated potassium magnesium chloride)","","0","0","0","0","0","0","0","0","0","0","0","0","???","0","???","0","","","","","","",""
"!","Kainite KMg(SO4)Cl¡¤3H2O","","","","","","","","","","","","0","0","15.8","0","","","","","","","","",""
"!","Magnesium Nitrate","","","","","","","","","","","","11","0","0","0","9.6","0","","","","","","",""
"FE061","Ammonium thiosulfate** (60% solution)","","0","100","0","0","0","0","0","0","0","0","12","0","0","0","0","26","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"!","Controlled release and inhibitors","","","","","","","","","","","","","","","","","","","","","","","",""
"FE201","ESN","","0","0","100","0","0","0","0","50","LIN","","30","0","0","0","0","0","","","","","","",""
"FE202","NBTPT","","0","0","100","50","25","0","0","0","","","46","0","0","0","0","0","","","","","","",""
"FE203","DCD (dicyandiamide)","","0","0","100","0","0","50","30","0","","","46","0","0","0","0","0","","","","","","",""
"FE204","SuperU","","0","0","100","50","25","50","30","0","","","46","0","0","0","0","0","","","","","","",""
"FE205","DMPP (3,4-Dimethylpyrazole phosphate)","","0","0","100","0","0","80","60","0","","","46","0","0","0","0","0","","","","","","",""
"FE206","sulphur coated urea (thin coat)","","0","0","100","0","0","0","0","10","STP","","45","0","0","0","0","0","","","","","","",""
"FE207","sulphur coated urea (thick coat)","","0","0","100","0","0","0","0","20","STP","","30","0","0","0","0","0","","","","","","",""
"FE208","ESN + NBTPT","","0","0","100","50","25","50","30","50","LIN","","46","0","0","0","0","0","","","","","","",""
"FE209","Ureaform (Urea + formaldehyde)","","0","0","100","??","0","0","0","??","0","0","38","0","0","0","0","0","","","","","","",""
"FE210","Crotonylidene diurea (CDU)","","0","0","100?","??","0","0","0","??","0","0","32","0","0","0","0","0","","","","","","",""
"FE211","Isobutylidene diurea (IBDU)","","0","0","100?","??","0","0","0","??","0","0","31","0","0","0","0","0","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"!","Elemental sulfur (S):","","","","","","","","","","","","","","","","","","","","","","","",""
"FE500","Wettable S","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90-100","","","","","","",""
"FE501","Flowable S","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52-70","","","","","","",""
"FE502","Flowers of S","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90-100","","","","","","",""
"FE503","Gypsum","","0","0","0","0","0","0","0","0","0","0","0","0","0","22","0","18","","","","","","",""
"FE504","Magnesium sulfate (epsom salt)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","13","","","","","","",""
"FE505","Sulfuric acid","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20-26","","","","","","",""
"FE506","Magnesium oxide","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45","0","","","","","","",""
"FE508","Magnesium sulfate (Kieserite)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","23","","","","","","",""
"FE509","Calcium chloride","","0","0","0","0","0","0","0","0","0","0","0","0","0","36","0","0","","","","","","",""
"FE510","Calcium oxide (burned lime, quicklime)","","0","0","0","0","0","0","0","0","0","0","0","0","0","70","0","0","","","","","","",""
"FE511","Selma chalk","","0","0","0","0","0","0","0","0","0","0","0","0","0","32","0","0","","","","","","",""
"FE513","Hydrated lime","","0","0","0","0","0","0","0","0","0","0","0","0","0","50","0","0","","","","","","",""
"!","Copper sulfate","","","","","","","","","","","","0","0","0","0","0","13","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"!","Generic fertilizer - user to modify values","","","","","","","","","","","","","","","","","","","","","","","",""
"FE900","Generic fertilizer","","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
